source_id,distance,wd_phot_bp_mean_mag,wd_e_bpmag,wd_phot_rp_mean_mag,wd_e_rpmag,CO_radius,CO_e_radius,CO_teff,CO_e_teff,CO_chi2,CO_roe,ONe_radius,ONe_e_radius,ONe_teff,ONe_e_teff,ONe_chi2,ONe_roe,CO_failed,ONe_failed
1956990406636103296,134.04010009765625,20.59630012512207,0.0887388387895956,19.89034652709961,0.09963799818241408,0.007910689744687756,1.950287417724046e-06,6327.0438456649135,0.15765975844702804,5.747142032799128e-14,4056.1661182839416,0.007878895727333657,1.2621498526869946e-07,6351.708769808089,0.039528322784603054,8.43954537802839e-15,62424.407930328176,False,False
1958425273603858816,176.72793579101562,17.82708168029785,0.28926104579580675,17.779752731323242,0.08114821344685057,0.015496431014466266,3.662017632848932e-06,10918.03996776083,2.4128629519909754,9.79397774671177e-13,4231.664772845603,0.015474460262231834,1.8458890111366703e-06,10938.462855346352,0.9958469082494004,6.8882110981378344e-15,8383.201898310721,False,False
1994873465592814208,85.5933837890625,14.492761611938477,0.04208682231644828,15.067418098449707,0.656022555354401,0.008023091153498271,nan,55537.67395938751,nan,2.463680115614139e-06,nan,0.002625979274437596,nan,41525.0,nan,352111.2762490143,nan,False,True
2026069324887778432,629.4840087890625,20.429256439208984,0.04744981812908087,20.65806007385254,0.08890916092511801,0.009820229351898926,5.260976640971033e-09,17608.874435264304,0.019386245400936794,1.3565315114156216e-17,1866617.1743515627,0.00990874943353824,4.916346081498085e-10,17472.77205240396,0.002119427123239905,5.90444860114152e-20,20154702.840852275,False,False
2084572311384460672,379.2699890136719,20.175310134887695,0.13332149229973722,20.481775283813477,0.38914349978218565,0.0051309865941341504,0.00014169345950129593,23783.302640380283,1361.8154952031323,8.523728188047883e-11,36.21188029562665,0.005151885170077379,9.412246552630506e-09,23725.651910242457,0.3349557873512469,2.6345874184979323e-17,547359.7765708279,False,False
2115601556009230848,255.62887573242188,20.350248336791992,0.07726853420851686,20.412256240844727,0.1508923260130583,0.005854877616027158,3.1473377213617144e-09,12730.379255463926,0.01343205549536274,7.51133813629619e-18,1860263.5415604557,0.0058536947711262215,1.012006080017286e-09,12733.869091493216,0.004535676813882266,6.301153572033411e-19,5784248.619362282,False,False
2141992893089969792,625.52392578125,20.260995864868164,0.08892293440711636,20.372875213623047,0.1497671579116185,0.013723349905614034,1.8679651352020813e-07,13746.902198647209,0.2117319835294092,4.634005288271097e-16,73466.84178947165,0.013721279217012522,2.4297783153040265e-07,13741.637852438238,0.2716947054078435,7.079443497732202e-16,56471.321398288324,False,False
2142130813083958144,259.7715148925781,20.506898880004883,0.11862352950249556,20.44268035888672,0.21424198981984566,0.00700077795401917,5.980856688903664e-10,10605.46758088523,0.009616653260067186,1.4419062908550482e-18,11705309.654063063,0.006798145052339634,2.6808424707458382e-09,10713.02296526457,0.005279470265929995,6.544658004981653e-19,2535824.139807931,False,False
2167710233843069312,285.5565490722656,20.563268661499023,0.0731341255829355,20.52153205871582,0.11743780254003111,0.007041472874406514,4.05624330154329e-09,10993.610207692187,0.0071434723915341,1.79278218087486e-17,1735959.1994216486,0.00702791391074446,1.9862867466700727e-09,11019.092615632959,0.004072173863939468,3.198599690373839e-18,3538217.1897015707,False,False
2227145881073198464,144.83853149414062,17.493654251098633,0.35905975814007485,17.445993423461914,0.1469425926984562,0.01485525567984766,1.3143971659825036e-06,10904.360089883356,0.5143145771114702,2.3616650671668046e-13,11301.953522353686,0.014796869179994067,2.8225230479371726e-08,10932.206660164446,0.0264106287098674,7.235028376528621e-19,524242.6342916239,False,False
