teff,logg,logL,age,SDSS_u_mag,SDSS_g_mag,SDSS_r_mag,SDSS_i_mag,SDSS_z_mag,mass,radius,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
71463.0,6.38813,1.967171,0.005119992,4.703,5.196,5.753,6.147,6.514,0.35153,0.06279703982521351,191794931.3875196,180073252.10855797,49702830.72408994,19311771.533047233,8314252.7317800615
71204.0,6.39424,1.954759,0.005120055,4.722,5.215,5.772,6.166,6.533,0.35153,0.06235685053618285,191138038.89885902,179456506.05660003,49532599.863807954,19245629.234233607,8285776.639482831
70914.0,6.401,1.940909,0.005120124,4.744,5.236,5.793,6.187,6.554,0.35153,0.06187342714881221,190242316.61003911,178780113.21495375,49345905.624004565,19173090.176536202,8254546.5652460195
70676.0,6.4064,1.92967,0.00512018,4.761,5.253,5.81,6.204,6.57,0.35153,0.061489954560882264,189630035.2500168,178204722.1410079,49187089.33777876,19111382.949993208,8235561.634972203
70389.0,6.41277,1.916231,0.005120247,4.781,5.273,5.83,6.223,6.59,0.35153,0.06104065316202172,188919647.1565621,177537135.31785718,49002825.68686933,19057332.656044908,8204709.745287694
70083.0,6.41943,1.902004,0.005120319,4.803,5.294,5.851,6.244,6.611,0.35153,0.06057440711988306,187991029.30714205,176827256.1436578,48806888.73334268,18981132.240035634,8171903.35484942
69860.0,6.42428,1.891617,0.005120371,4.819,5.309,5.866,6.259,6.626,0.35153,0.06023711618592513,187321283.90141785,176359641.75735623,48677820.37691356,18930937.203946162,8150293.001018621
69589.0,6.42994,1.879204,0.005120434,4.837,5.327,5.884,6.277,6.644,0.35153,0.05984586824519636,186658222.47611198,175735381.27293915,48505515.42422658,18863927.3375637,8121443.396844683
69270.0,6.43666,1.864496,0.005120509,4.859,5.349,5.905,6.298,6.665,0.35153,0.059384646025734754,185766383.26161796,174895730.58777672,48318241.90792199,18791096.155935816,8090087.555161653
68775.0,6.44682,1.841877,0.005120627,4.892,5.381,5.937,6.33,6.697,0.35153,0.058694062762060975,184470585.3229731,173835794.95561132,48025414.71248553,18677214.86039925,8041058.502032447
68450.0,6.4533,1.827175,0.005120704,4.914,5.402,5.958,6.351,6.718,0.35153,0.05825781232188356,183487771.3649154,173068969.57465553,47813564.74831793,18594825.831119355,8005587.742108246
68115.0,6.4599,1.812054,0.005120784,4.936,5.424,5.979,6.372,6.739,0.35153,0.05781681612365228,182560629.9960274,172194473.1427142,47615804.21325013,18517916.219271593,7972476.023211243
67779.0,6.46641,1.796945,0.005120866,4.957,5.445,6.0,6.393,6.76,0.35153,0.05738510387552807,181767873.22265062,171446730.68079945,47409035.91216212,18437503.462633036,7937856.10341735
67478.0,6.4725,1.783125,0.005120941,4.977,5.465,6.02,6.413,6.779,0.35153,0.05698416280340652,180970224.76140618,170694374.2908158,47200991.7519157,18356594.520885434,7910304.868073337
67111.0,6.47902,1.767132,0.005121025,5.0,5.486,6.041,6.434,6.8,0.35153,0.05655801674041837,179856909.15355983,169957059.26415333,46997106.88086112,18277303.138056803,7876136.274826264
66814.0,6.48442,1.754031,0.005121098,5.018,5.504,6.059,6.452,6.818,0.35153,0.05620748744137905,179113007.3178143,169254103.95940915,46802723.27754018,18201706.82418218,7843559.977029314
66396.0,6.49205,1.735498,0.005121204,5.044,5.529,6.084,6.476,6.843,0.35153,0.05571590280710252,177974231.28114322,168332978.50968975,46548010.52010285,18119329.173523657,7800873.256044548
66102.0,6.49739,1.722452,0.005121281,5.062,5.547,6.101,6.494,6.86,0.35153,0.055374417669951104,177213631.68476388,167613582.25445506,46391789.35488225,18041893.500073396,7774692.512846731
65683.0,6.50484,1.70395,0.005121391,5.088,5.572,6.126,6.519,6.885,0.35153,0.05490149517820635,176013964.81520674,166632307.33011475,46120193.82558829,17936269.25744855,7729176.447234958
65414.0,6.5096,1.692057,0.005121463,5.105,5.588,6.142,6.534,6.901,0.35153,0.05460144950990945,175189117.8494386,166004250.41347337,45946361.348602995,17885130.56302287,7700044.26509449
65088.0,6.51509,1.677893,0.005121549,5.124,5.607,6.16,6.553,6.919,0.35153,0.054257424170082405,174340033.77176335,165199682.36961943,45765806.89578229,17798447.21319706,7669785.562595046
64518.0,6.52482,1.652878,0.005121709,5.158,5.64,6.193,6.585,6.952,0.35153,0.05365301996648584,172793390.28719893,163885000.94523486,45401596.41223404,17673074.77172327,7608748.371339491
64161.0,6.5311,1.636963,0.005121813,5.18,5.661,6.214,6.606,6.973,0.35153,0.05326650131575155,171793657.4330701,163086948.94804493,45180509.464170545,17587014.22599485,7571696.921854542
63789.0,6.53716,1.620805,0.00512192,5.201,5.682,6.235,6.627,6.993,0.35153,0.0528961632361939,170870513.97319898,162210591.50527745,44937729.30308257,17492509.356583636,7537949.468828112
63390.0,6.54376,1.603302,0.005122039,5.225,5.705,6.257,6.649,7.015,0.35153,0.05249575330045353,169694249.62871692,161242383.0004635,44710664.428127296,17404121.83653515,7499861.127914963
62991.0,6.55011,1.585984,0.00512216,5.247,5.727,6.279,6.671,7.037,0.35153,0.052113371637499094,168739642.93630365,160335321.86993137,44459146.77459012,17306215.801315427,7457671.026361478
62386.0,6.55963,1.559695,0.00512235,5.282,5.76,6.312,6.703,7.07,0.35153,0.05154531192805855,167007942.54912633,158982458.26136062,44084013.204282574,17176003.300626535,7394745.330272837
62011.0,6.56561,1.543241,0.005122474,5.304,5.781,6.333,6.724,7.09,0.35153,0.05119165521446921,165927024.70652106,158099030.9437575,43839048.936148115,17080560.37762135,7360430.593528278
61381.0,6.57532,1.515796,0.005122689,5.339,5.816,6.367,6.758,7.124,0.35153,0.05062256796338124,164296051.3279246,156545002.53212684,43448133.458793156,16928251.97733579,7294797.184299973
60982.0,6.58118,1.498605,0.00512283,5.361,5.837,6.387,6.778,7.145,0.35153,0.050282188534843814,163187588.90723053,155632110.88728017,43234567.99399876,16845042.649019647,7252257.599562815
60648.0,6.58634,1.483907,0.005122954,5.38,5.855,6.406,6.796,7.163,0.35153,0.04998436418293179,162273321.55440924,154902778.56085825,42992343.97258303,16766102.422135526,7218271.644628774
60251.0,6.59197,1.466867,0.005123103,5.402,5.876,6.426,6.817,7.183,0.35153,0.04966142442138811,161093169.29876912,153917927.85191002,42758368.30375248,16659505.832906164,7178987.9075771645
59811.0,6.5988,1.4473,0.005123282,5.427,5.9,6.45,6.841,7.207,0.35153,0.04927245166207352,159921599.8424036,152939338.68925524,42486516.43815881,16553586.97023175,7133344.882991045
59451.0,6.60387,1.431743,0.005123428,5.446,5.919,6.468,6.859,7.225,0.35153,0.04898568349463523,158992678.48150095,152050974.52349547,42278651.20765863,16472598.565918168,7098445.001742872
59045.0,6.60991,1.413801,0.005123603,5.469,5.941,6.49,6.88,7.247,0.35153,0.04864622812821204,157840019.45625004,151087734.0786982,42010816.641505115,16383327.578003457,7053476.468379112
58602.0,6.61601,1.394624,0.005123798,5.493,5.963,6.512,6.903,7.269,0.35153,0.048305788119738985,156573091.16557762,150151338.48754558,41750446.441874385,16266799.543980764,7009761.177342687
58159.0,6.62228,1.375171,0.005124003,5.517,5.987,6.535,6.925,7.292,0.35153,0.047958343293598736,155377140.92127773,149004439.43478093,41469721.980970934,16172312.135245277,6962628.47349694
57739.0,6.62822,1.356638,0.005124206,5.54,6.009,6.557,6.947,7.313,0.35153,0.04763149053371601,154215180.23563257,148026410.47508544,41197524.79542542,16066161.005295707,6923301.131200807
57377.0,6.63319,1.340739,0.005124387,5.56,6.028,6.576,6.965,7.332,0.35153,0.04735972501924656,153142991.29368314,147132701.1102387,40948794.76407503,15983876.484599302,6881501.704755553
57036.0,6.63805,1.325523,0.005124568,5.578,6.046,6.593,6.983,7.349,0.35153,0.047095473981850586,152320068.30019024,146342074.7693567,40766283.8233901,15897986.171414135,6850830.488259533
56695.0,6.64248,1.310682,0.005124748,5.596,6.063,6.61,7.0,7.366,0.35153,0.046855887912757424,151351638.11032438,145545642.62218106,40544422.96068875,15811465.139904754,6813546.46283964
56371.0,6.64688,1.296326,0.005124932,5.614,6.08,6.627,7.016,7.382,0.35153,0.04661913081588509,150378976.89682806,144743545.9934084,40320984.15217203,15738818.056525985,6782241.060486929
55987.0,6.65198,1.279346,0.005125156,5.634,6.099,6.646,7.035,7.402,0.35153,0.04634620434149745,149378166.93576625,143912728.74361932,40089544.68499451,15648478.404813709,6737103.538263203
55627.0,6.65666,1.263458,0.005125375,5.654,6.117,6.664,7.053,7.419,0.35153,0.04609716024949211,148240586.91575795,143080091.08998376,39857598.110753,15557940.809871968,6704296.6376745375
55151.0,6.66293,1.242261,0.005125684,5.679,6.142,6.688,7.077,7.443,0.35153,0.04576560122826788,146972853.37389055,141856489.41366756,39553154.32770639,15439104.78911091,6653087.294217144
54684.0,6.66905,1.221369,0.005126006,5.704,6.166,6.711,7.1,7.467,0.35153,0.04544427425320456,145665641.49897337,140724335.9423539,39273637.19083134,15329998.589114597,6599989.153228053
54352.0,6.67334,1.206498,0.005126244,5.722,6.183,6.728,7.117,7.483,0.35153,0.04522037631271814,144692868.25716615,139913366.99960297,39047310.30985974,15241654.57480509,6568001.174912748
53999.0,6.67797,1.190554,0.005126513,5.741,6.201,6.746,7.134,7.501,0.35153,0.044979971105493226,143706736.1250439,139087854.49980548,38816924.583066724,15165687.922350947,6529248.858498358
