teff,logg,logL,age,SDSS_u_mag,SDSS_g_mag,SDSS_r_mag,SDSS_i_mag,SDSS_z_mag,mass,radius,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
17283.0,3.87231,1.742722,0.181134942,1.99,1.857,2.247,2.545,2.809,0.18687,0.829158902133473,13385664.461527236,22369280.558594435,7200852.786943686,3056503.683080956,1446858.4011915803
17367.0,3.88901,1.734445,0.181134993,2.019,1.89,2.281,2.579,2.844,0.18687,0.8133692842045921,13543781.362793475,22550284.038634934,7252436.456877071,3078399.1004437446,1455881.5097535467
17447.0,3.90582,1.725621,0.181135047,2.049,1.924,2.315,2.614,2.88,0.18687,0.797779308013147,13694618.374250669,22717577.40726064,7306239.970994063,3098381.732403638,1463982.9889079996
17521.0,3.92255,1.716245,0.181135106,2.08,1.958,2.35,2.65,2.917,0.18687,0.7825602204726924,13831839.291548878,22881896.482718915,7352312.068339995,3115049.293434219,1470503.3911104542
17590.0,3.93927,1.706345,0.181135171,2.112,1.992,2.386,2.686,2.953,0.18687,0.7676403023705138,13957252.46701267,23046873.418596484,7391693.193692404,3131734.404942464,1478379.8356680614
17651.0,3.9561,1.695538,0.181135242,2.145,2.028,2.422,2.722,2.991,0.18687,0.7529094841397035,14074401.447195182,23176188.60952013,7433167.722546258,3149306.455829428,1483938.9368450437
17700.0,3.97243,1.684016,0.181135322,2.179,2.064,2.458,2.759,3.028,0.18687,0.7388865613856775,14163152.596368335,23279412.53520711,7466274.1476595085,3160420.8876874964,1489176.006792482
17733.0,3.98833,1.671358,0.181135416,2.214,2.1,2.495,2.796,3.066,0.18687,0.7254838813761543,14225250.876239821,23359955.79082912,7485209.02178201,3168435.8855966395,1491578.2103516143
17741.0,4.00289,1.65758,0.181135529,2.25,2.136,2.531,2.832,3.102,0.18687,0.7134240865122431,14230492.617842888,23368563.50208717,7487967.182736673,3169603.395564829,1492127.829309301
17721.0,4.01321,1.645295,0.181135648,2.279,2.163,2.558,2.859,3.129,0.18687,0.7049978098828008,14188612.706861963,23342749.878987223,7479695.747369126,3166102.1556438636,1490479.5797110987
17678.0,4.01874,1.63555,0.181135764,2.3,2.182,2.576,2.877,3.147,0.18687,0.700523595128045,14095157.541552065,23231754.867166117,7450989.173681116,3153950.8666202785,1484759.2184383213
17462.0,4.01149,1.621446,0.181136114,2.315,2.187,2.578,2.877,3.145,0.18687,0.7063952460488611,13671618.60206667,22742176.018243514,7314151.173477149,3101736.6626211293,1462870.999451615
17372.0,4.00188,1.622073,0.18113624,2.305,2.172,2.563,2.861,3.128,0.18687,0.7142541424471329,13496151.176686393,22553919.007921882,7253605.50573389,3078895.3197447485,1453436.3928370965
17278.0,3.98914,1.625386,0.181136375,2.288,2.15,2.54,2.837,3.104,0.18687,0.7248076489443732,13312816.147019772,22350231.02081191,7194720.586273547,3056714.826168005,1442965.7748953989
17187.0,3.97401,1.631343,0.18113652,2.264,2.122,2.511,2.808,3.073,0.18687,0.7375437172475393,13144374.806784797,22148892.56315171,7136478.017393956,3031970.1649023523,1433923.6587515413
17116.0,3.9605,1.637667,0.181136649,2.241,2.096,2.484,2.78,3.045,0.18687,0.7491051241838226,13014573.317494875,21990850.015391335,7092085.004956531,3015886.0152973877,1426316.9075649842
17062.0,3.94857,1.644104,0.181136768,2.22,2.072,2.459,2.755,3.019,0.18687,0.7594650064092201,12909217.98454022,21873184.51471425,7060637.782892414,3002513.186689591,1421300.8977863912
17023.0,3.9388,1.649899,0.181136874,2.201,2.052,2.438,2.734,2.997,0.18687,0.7680557906947991,12844876.539766347,21784220.111013427,7038399.801203313,2993056.557512455,1418129.9539959186
16993.0,3.92989,1.655747,0.181136987,2.183,2.033,2.419,2.715,2.977,0.18687,0.7759750683346472,12794400.297750393,21718609.487417065,7017201.254836991,2984041.9448158867,1415161.582922027
16976.0,3.92261,1.66129,0.181137099,2.168,2.017,2.402,2.698,2.96,0.18687,0.7825061649947832,12756746.763195148,21674646.170468748,7009449.841773312,2980745.6816942357,1413598.3525709698
16970.0,3.91704,1.666246,0.181137215,2.154,2.003,2.389,2.684,2.947,0.18687,0.7875402657114852,12757627.998479523,21676143.45369757,7003480.638640222,2980951.5914231976,1412394.541158432
16999.0,3.91193,1.674325,0.181137469,2.137,1.987,2.374,2.669,2.932,0.18687,0.7921871032312793,12807369.352334162,21740624.5741246,7017847.592721659,2987066.7214339343,1415291.9301232474
17078.0,3.91593,1.678372,0.181137735,2.134,1.989,2.376,2.672,2.935,0.18687,0.7885473341124287,12961639.381248306,21901407.03294966,7069747.978001281,3006387.2674438762,1424446.132356915
17125.0,3.92015,1.678933,0.181137854,2.137,1.994,2.382,2.678,2.942,0.18687,0.7847255043429328,13052086.230159372,22013647.936078306,7099437.371569727,3019012.5852175863,1429111.224829994
17176.0,3.92538,1.678868,0.18113797,2.142,2.002,2.39,2.687,2.951,0.18687,0.7800146648659241,13149521.040991444,22116786.038902625,7132699.577985942,3030364.8750763135,1434485.0629332426
17231.0,3.93156,1.67824,0.181138085,2.149,2.011,2.4,2.698,2.962,0.18687,0.7744845665550184,13252259.588003688,22248565.59789251,7168593.14095269,3042810.6206474006,1440376.5106152073
17290.0,3.93866,1.677076,0.181138202,2.158,2.023,2.412,2.71,2.976,0.18687,0.7681795966391084,13359491.69578403,22366705.348240554,7206658.327685433,3058967.926856557,1445359.996058028
17355.0,3.94677,1.675485,0.181138325,2.168,2.036,2.427,2.725,2.991,0.18687,0.7610404978339349,13486521.042777928,22517077.185720947,7241756.742587074,3073865.944854047,1452399.2981197054
17425.0,3.95608,1.673168,0.181138456,2.18,2.052,2.443,2.742,3.009,0.18687,0.7529268207208432,13627303.686473528,22668459.97627452,7290443.227744995,3091682.7544192434,1459472.8835250814
17503.0,3.96685,1.67016,0.181138601,2.196,2.07,2.463,2.762,3.03,0.18687,0.7436486054160346,13765117.862289874,22855567.884716,7337091.45307907,3111465.024067921,1467459.1832275605
