logg,mWD,tcool(gyr),Radius,core,log(L),TpreWD(gyr),Mzams,Mbol,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
7.0,0.194,5.90867,0.023008,He,-4.082,0.0,0.0,14.944,3630.780547701014,75827.59501982799,60751.04704728162,81913.40629185144,2130.677563089921,52578.69645854912,75041.53871885812,65076.28039072734,50311.10182995254
7.0,0.193,6.3732,0.022942,He,-4.164,0.0,0.0,15.1499,3467.368504525317,66939.50067634246,52889.43820914272,72833.33098554096,1474.2560515558248,44175.85881893032,66944.81059744331,57915.913161012824,44446.64815362512
7.0,0.191,6.90827,0.022874,He,-4.246,0.0,0.0,15.3561,3311.311214825911,59300.83188679216,46737.69297073735,64545.87460070782,1063.5336524806821,37743.59979664575,60424.801791303624,51425.227964619626,38802.28779480232
7.0,0.19,7.48264,0.022816,He,-4.329,0.0,0.0,15.5614,3162.2776601683795,52721.2869454732,41924.943739458075,57015.6010692077,800.0487548974727,32798.088684806244,55184.9243691104,45568.154779199765,33479.776466298485
7.0,0.19,8.05686,0.022774,He,-4.41,0.0,0.0,15.7652,3019.9517204020162,46036.933389653255,37676.701309023,48909.59772408261,617.4429516900504,28642.367951742453,50329.293661496056,38971.02481221955,27813.966894656092
7.0,0.189,8.68108,0.022736,He,-4.491,0.0,0.0,15.9686,2884.031503126606,40204.7066965129,33859.72165542376,41960.88141739517,476.4829323992255,25016.090019331437,45901.97233288793,33329.771629211216,23109.65408698717
7.0,0.188,9.33955,0.022705,He,-4.573,0.0,0.0,16.1715,2754.2287033381663,34957.63205195468,31007.62423041578,35278.46749114586,374.0351849125387,22294.849228080362,42518.35518353929,27683.27370623513,18551.47961883544
7.0,0.188,10.06883,0.022676,He,-4.654,0.0,0.0,16.3742,2630.2679918953813,30047.761448667923,28172.060228388887,29197.107360386137,297.6751446727112,19762.17112182159,38984.01553091757,22439.20997390067,14662.521751582715
7.0,0.187,10.88807,0.022647,He,-4.735,0.0,0.0,16.5768,2511.88643150958,25775.295869263453,25683.259784030186,23942.602936438037,241.15380004667674,17601.35863725158,35786.4079046319,17858.25824520934,11434.053128730668
7.1,0.509,0.00017,0.034522,CO,1.599,0.0,0.0,0.7429,79432.82347242821,68308244.28838854,143469507.80355272,24760580.768391088,208028852.54038236,193168210.1469949,53135842.5768658,20620944.941861153,8885250.363008251
7.1,0.502,0.00021,0.034358,CO,1.512,0.0,0.0,0.9588,75857.75750291836,65712693.46591701,137852851.55323425,23859260.16112085,199241461.75065362,185708508.27691975,51168621.528430805,19875804.13730773,8568125.42528758
7.1,0.495,0.00024,0.034119,CO,1.426,0.0,0.0,1.1738,72443.59600749906,63216788.83558299,132458220.75684932,22993238.055183012,190793195.68779415,178523323.96291804,49275028.06403246,19156134.222629055,8262452.547796623
7.1,0.489,0.00027,0.033833,CO,1.341,0.0,0.0,1.388,69183.09709189362,60805659.31026078,127253720.12870853,22154997.530057557,182622570.9740067,171587850.85019994,47443689.01722077,18461179.35609897,7967105.141004782
7.1,0.483,0.0003,0.033515,CO,1.255,0.0,0.0,1.6016,66069.34480075965,58477200.307606354,122223033.19887668,21345890.437384058,174757982.5846827,164910802.36773592,45673155.82351831,17790248.383722395,7681802.170247574
7.1,0.477,0.00031,0.033161,CO,1.17,0.0,0.0,1.8149,63095.7344480193,56225041.16871904,117364368.84548879,20559733.749364898,167132239.5739085,158442729.33540136,43962687.217125796,17139779.159349572,7405021.5850200765
7.1,0.47,0.00031,0.03273,CO,1.084,0.0,0.0,2.0292,60255.95860743581,54037221.309605956,112641777.27771285,19797972.324787993,159743597.01140934,152151255.92757815,42298742.59693593,16509291.982098611,7135913.1457077805
7.1,0.463,0.00029,0.0322,CO,0.998,0.0,0.0,2.2456,57543.993733715666,51912659.198163316,108053729.5450119,19058160.49876899,152575122.25390613,146061517.63110244,40684382.115747586,15895299.514538592,6874954.41111736
7.1,0.455,0.00027,0.031663,CO,0.911,0.0,0.0,2.4625,54954.08738576248,49833443.43697147,103573197.2680143,18331947.363464016,145563117.47591048,140095256.3793839,39105275.16664545,15293832.775650062,6618467.554513106
7.1,0.448,0.00028,0.03127,CO,0.825,0.0,0.0,2.6782,52480.74602497723,47797948.48604529,99178090.47338443,17620448.600414675,138694649.54572055,134261591.13580158,37552919.43650576,14704311.57721421,6367453.814435041
7.1,0.444,0.00033,0.031194,CO,0.741,0.0,0.0,2.8881,50118.72336272725,45793399.38157105,94861364.9096388,16920398.52789424,131951197.02472572,128524350.12420017,36031084.35419226,14125320.917719718,6120112.851861847
7.1,0.441,0.00035,0.031109,CO,0.658,0.0,0.0,3.0957,47863.0092322638,43902870.587857895,90786108.98072444,16259254.224442273,125586618.85505883,123093593.50631373,34588152.58500526,13577141.90835467,5886395.848461007
7.1,0.439,0.00033,0.03101,CO,0.575,0.0,0.0,3.3017,45708.818961487515,41916159.75051446,86502363.20480348,15562135.448209496,118902760.50578883,117404304.38803561,33074701.667327825,12999807.658033213,5640245.835755336
7.1,0.437,0.00028,0.030892,CO,0.493,0.0,0.0,3.5068,43651.58322401656,39929416.797780335,82227947.98620446,14865539.358646953,112228567.01234195,111716031.51189107,31559303.917380694,12423627.082360169,5393733.862507639
7.1,0.429,0.00019,0.030551,He,0.405,0.0,0.0,3.7267,41686.93834703355,37932735.16589302,77922099.31044194,14165172.350326788,105532107.114505,105992879.75079034,30033684.0419003,11842669.20973019,5146247.933596213
7.1,0.4,0.0002,0.029448,He,0.293,0.0,0.0,4.0065,39810.71705534969,35901567.4769836,73559690.95053397,13452441.575482212,98737894.29572941,100188054.49303012,28483139.648553133,11253013.768246936,4894067.52496586
7.1,0.38,0.00018,0.028699,He,0.191,0.0,0.0,4.2624,38018.93963205613,33819835.4977622,69084079.66439359,12719182.386456603,91787161.90107927,94239727.93881597,26890937.264571983,10646501.76912444,4635408.76375421
7.1,0.367,0.00012,0.028232,He,0.097,0.0,0.0,4.498,36307.8054770101,31665163.050292425,64456721.820582785,11960502.68075528,84612042.58499157,88089523.64487536,25240396.75530882,10016988.343800101,4366950.562000828
7.1,0.361,8e-05,0.028058,He,0.011,0.0,0.0,4.7131,34673.685045253165,29432801.234742913,59664785.41999861,11170672.043337397,77197288.84079689,81713559.75191751,23528056.058372024,9364121.441472976,4087974.1815415677
7.1,0.359,0.0001,0.028002,He,-0.072,0.0,0.0,4.9198,33113.112148259075,27117329.41200495,54703284.401901945,10350816.77295184,69543631.83631103,75118939.76921356,21747100.700741358,8684850.692450427,3798424.193802581
7.1,0.357,0.00013,0.027936,He,-0.155,0.0,0.0,5.1266,31622.776601683792,24770602.793813534,49684744.493195735,9519722.291957134,61839650.43558198,68447739.20009626,19942106.165796105,7994881.20617557,3504718.346133818
