wavelength,flux
4288.45,8.63585e-17
4289.43,4.89925e-17
4290.42,4.68849e-17
4291.41,4.83877e-17
4292.40,3.70888e-17
4293.39,4.93896e-17
4294.38,3.64434e-17
4295.36,3.18587e-17
4296.35,6.44521e-17
4297.34,7.09959e-17
4298.33,5.21148e-17
4299.32,8.22754e-17
4300.31,6.32820e-17
4301.30,7.04243e-17
4302.29,7.33423e-17
4303.28,6.86799e-17
4304.27,8.13431e-17
4305.27,5.43503e-17
4306.26,6.11108e-17
4307.25,5.86108e-17
4308.24,5.04224e-17
4309.23,5.57777e-17
4310.23,2.81882e-17
4311.22,5.59886e-17
4312.21,7.36147e-17
4313.20,6.17172e-17
4314.20,4.29913e-17
4315.19,5.07338e-17
4316.18,6.56705e-17
4317.18,6.04560e-17
4318.17,4.16525e-17
4319.17,3.44100e-17
4320.16,2.81825e-17
4321.16,3.33463e-17
4322.15,5.66993e-17
4323.15,2.69780e-17
4324.14,3.73871e-17
4325.14,5.82952e-17
4326.14,5.16192e-17
4327.13,6.06140e-17
4328.13,4.23215e-17
4329.12,2.58460e-17
4330.12,3.60580e-17
4331.12,5.12105e-17
4332.11,5.27763e-17
4333.11,3.63650e-17
4334.11,3.47751e-17
4335.11,6.58138e-17
4336.11,2.94684e-17
4337.11,4.83902e-17
4338.10,3.93025e-17
4339.10,3.13792e-17
4340.10,4.05738e-17
4341.10,4.10088e-17
4342.10,3.89190e-17
4343.10,4.65375e-17
4344.10,4.04568e-17
4345.10,2.60248e-17
4346.10,3.16681e-17
4347.10,3.68616e-17
4348.10,3.59921e-17
4349.11,4.02628e-17
4350.11,4.01737e-17
4351.11,2.83368e-17
4352.11,3.58679e-17
4353.11,3.81649e-17
4354.12,3.32809e-17
4355.12,3.99411e-17
4356.12,5.38901e-17
4357.12,4.80712e-17
4358.13,2.93450e-17
4359.13,3.53297e-17
4360.14,5.69971e-17
4361.14,4.52674e-17
4362.14,1.60248e-17
4363.15,5.63767e-17
4364.15,4.30340e-17
4365.16,3.51286e-17
4366.16,4.49792e-17
4367.17,4.97708e-17
4368.18,4.72782e-17
4369.18,5.91762e-17
4370.19,6.52582e-17
4371.19,5.61681e-17
4372.20,6.63646e-17
4373.21,4.43575e-17
4374.21,7.30471e-17
4375.22,6.38921e-17
4376.23,3.32697e-17
4377.24,5.60551e-17
4378.24,7.01983e-17
4379.25,6.03770e-17
4380.26,5.16397e-17
4381.27,4.51839e-17
4382.28,5.06443e-17
4383.29,6.23384e-17
4384.30,4.92821e-17
4385.31,4.66894e-17
4386.32,6.58332e-17
4387.33,5.15953e-17
4388.34,5.94906e-17
4389.35,5.14863e-17
4390.36,4.34714e-17
4391.37,6.09025e-17
4392.38,5.32537e-17
4393.39,6.43848e-17
4394.40,7.02232e-17
4395.41,5.56294e-17
4396.43,5.48654e-17
4397.44,3.96077e-17
4398.45,4.41893e-17
4399.47,5.68504e-17
4400.48,3.71462e-17
4401.49,5.79179e-17
4402.51,5.06736e-17
4403.52,4.93819e-17
4404.53,3.56775e-17
4405.55,5.36649e-17
4406.56,5.44972e-17
4407.58,5.17765e-17
4408.59,6.13149e-17
4409.61,6.39629e-17
4410.62,6.75571e-17
4411.64,5.35878e-17
4412.66,5.51266e-17
4413.67,6.22423e-17
4414.69,3.64029e-17
4415.70,5.52738e-17
4416.72,5.14527e-17
4417.74,4.22426e-17
4418.76,4.98650e-17
4419.77,4.48529e-17
4420.79,4.07729e-17
4421.81,6.46283e-17
4422.83,7.53309e-17
4423.85,6.20928e-17
4424.86,8.15765e-17
4425.88,5.46058e-17
4426.90,4.71270e-17
4427.92,5.71952e-17
4428.94,7.13089e-17
4429.96,6.57833e-17
4430.98,5.84996e-17
4432.00,4.67768e-17
4433.02,4.54580e-17
4434.04,5.22418e-17
4435.06,5.17857e-17
4436.09,5.45308e-17
4437.11,6.44358e-17
4438.13,6.00864e-17
4439.15,5.84570e-17
4440.17,5.89302e-17
4441.20,5.51771e-17
4442.22,6.88017e-17
4443.24,7.53210e-17
4444.27,8.20664e-17
4445.29,4.99385e-17
4446.31,5.48233e-17
4447.34,7.00340e-17
4448.36,6.52920e-17
4449.38,6.85755e-17
4450.41,7.57609e-17
4451.43,5.78816e-17
4452.46,4.62733e-17
4453.48,7.67090e-17
4454.51,4.37654e-17
4455.54,4.71153e-17
4456.56,5.09473e-17
4457.59,4.48307e-17
4458.61,6.34546e-17
4459.64,6.08581e-17
4460.67,8.21649e-17
4461.70,7.16324e-17
4462.72,4.78281e-17
4463.75,5.51882e-17
4464.78,5.77721e-17
4465.81,4.86863e-17
4466.84,3.78160e-17
4467.86,5.39152e-17
4468.89,6.94087e-17
4469.92,6.68338e-17
4470.95,5.77704e-17
4471.98,5.83545e-17
4473.01,4.47563e-17
4474.04,5.16743e-17
4475.07,5.36616e-17
4476.10,4.54579e-17
4477.13,4.85951e-17
4478.16,5.75619e-17
4479.20,5.99843e-17
4480.23,5.67927e-17
4481.26,4.57928e-17
4482.29,5.26764e-17
4483.32,5.36911e-17
4484.36,4.80209e-17
4485.39,4.43108e-17
4486.42,5.60091e-17
4487.45,7.35961e-17
4488.49,5.60025e-17
4489.52,4.17538e-17
4490.55,5.00433e-17
4491.59,5.31703e-17
4492.62,5.77215e-17
4493.66,6.38070e-17
4494.69,5.06231e-17
4495.73,6.22972e-17
4496.76,6.68567e-17
4497.80,5.55684e-17
4498.83,5.80186e-17
4499.87,5.30413e-17
4500.91,4.34976e-17
4501.94,3.07514e-17
4502.98,4.26935e-17
4504.02,5.95894e-17
4505.06,5.79537e-17
4506.09,5.60826e-17
4507.13,6.23355e-17
4508.17,5.96328e-17
4509.20,5.73873e-17
4510.24,6.14685e-17
4511.28,4.15832e-17
4512.32,6.06474e-17
4513.36,4.43998e-17
4514.40,5.95494e-17
4515.44,5.58423e-17
4516.48,6.45489e-17
4517.52,4.81367e-17
4518.56,4.59689e-17
4519.60,5.26554e-17
4520.64,6.47927e-17
4521.68,6.45409e-17
4522.72,5.76394e-17
4523.76,5.52413e-17
4524.81,4.65724e-17
4525.85,6.44238e-17
4526.89,6.17926e-17
4527.93,3.74550e-17
4528.97,4.45704e-17
4530.02,7.76466e-17
4531.06,5.97797e-17
4532.11,4.14943e-17
4533.15,5.55868e-17
4534.19,5.88463e-17
4535.24,4.97416e-17
4536.28,4.06754e-17
4537.33,5.15102e-17
4538.37,6.66032e-17
4539.42,5.60888e-17
4540.46,4.59358e-17
4541.51,5.65355e-17
4542.55,6.29975e-17
4543.60,5.89392e-17
4544.65,4.40045e-17
4545.69,3.98806e-17
4546.74,5.17793e-17
4547.78,6.73140e-17
4548.83,5.25828e-17
4549.88,4.85043e-17
4550.93,4.26489e-17
4551.98,4.71178e-17
4553.02,6.11383e-17
4554.07,6.39197e-17
4555.12,5.77670e-17
4556.17,5.81021e-17
4557.22,6.05766e-17
4558.27,4.08552e-17
4559.32,5.38309e-17
4560.37,5.62748e-17
4561.42,5.99141e-17
4562.47,6.45150e-17
4563.52,5.64493e-17
4564.57,4.99631e-17
4565.62,5.64514e-17
4566.67,4.17474e-17
4567.72,3.75046e-17
4568.78,5.42250e-17
